Time;Radius;Height;Load;Angle;Date;Date;x;y;z;distance (m);vitesse (m/sec)
1,49449E+12;278;171;0;896;11/05/2017 08:19:15,489;11/05/2017 08:19:15,489;-277,322806;19,3922997;171;0;0
1,49449E+12;278;171;0;893;11/05/2017 08:19:15,585;11/05/2017 08:19:15,585;-275,9278302;33,87967747;171;1,455438326;15,16081589
1,49449E+12;278;173;0;890;11/05/2017 08:19:15,838;11/05/2017 08:19:15,838;-273,7765553;48,27419339;173;1,469115625;5,806781128
1,49449E+12;278;174;0;888;11/05/2017 08:19:16,087;11/05/2017 08:19:16,087;-271,925033;57,79945005;174;0,975492949;3,917642365
1,49449E+12;278;176;0;885;11/05/2017 08:19:16,386;11/05/2017 08:19:16,386;-268,5273797;71,95169454;176;1,469115625;4,913430185
1,49449E+12;278;177;0;883;11/05/2017 08:19:16,638;11/05/2017 08:19:16,638;-265,8527222;81,27933391;177;0,975492949;3,871003765
1,49449E+12;278;180;0;883;11/05/2017 08:19:16,887;11/05/2017 08:19:16,887;-265,8527222;81,27933391;180;0,3;1,204819277
1,49449E+12;278;181;0;882;11/05/2017 08:19:17,137;11/05/2017 08:19:17,137;-264,3937115;85,90672444;181;0,495393329;1,981573317
1,49449E+12;278;182;0;879;11/05/2017 08:19:17,390;11/05/2017 08:19:17,390;-259,5353586;99,62628997;182;1,458869672;5,766283289
1,49449E+12;278;184;0;876;11/05/2017 08:19:17,690;11/05/2017 08:19:17,690;-253,9656372;113,0727868;184;1,469115625;4,897052084
1,49449E+12;278;187;0;874;11/05/2017 08:19:17,938;11/05/2017 08:19:17,938;-249,8647449;121,8671788;187;1,015670465;4,095445423
1,49449E+12;279;189;0;872;11/05/2017 08:19:18,191;11/05/2017 08:19:18,191;-246,3423784;130,982566;189;0,997483581;3,942622851
1,49449E+12;279;191;0;870;11/05/2017 08:19:18,440;11/05/2017 08:19:18,440;-241,6210877;139,5;191;0,994169342;3,992647959
1,49449E+12;279;192;0;868;11/05/2017 08:19:18,695;11/05/2017 08:19:18,695;-236,6054188;147,8474747;192;0,978965107;3,83907885
1,49449E+12;280;195;0;866;11/05/2017 08:19:18,991;11/05/2017 08:19:18,991;-232,1305203;156,574013;195;1,025559294;3,464727344
1,49449E+12;253;208;68;2987;11/05/2017 08:21:48,353;11/05/2017 08:21:48,353;-73,97004129;241,9451033;208;18,01997785;0,120646335
1,49449E+12;253;210;108;2987;11/05/2017 08:21:48,650;11/05/2017 08:21:48,650;-73,97004129;241,9451033;210;0,2;0,673400673
1,49449E+12;253;211;140;2987;11/05/2017 08:21:48,900;11/05/2017 08:21:48,900;-73,97004129;241,9451033;211;0,1;0,4
1,49449E+12;253;212;100;2987;11/05/2017 08:21:49,151;11/05/2017 08:21:49,151;-73,97004129;241,9451033;212;0,1;0,398406375
1,49449E+12;253;214;124;2987;11/05/2017 08:21:49,401;11/05/2017 08:21:49,401;-73,97004129;241,9451033;214;0,2;0,8
1,49449E+12;253;215;204;2987;11/05/2017 08:21:49,654;11/05/2017 08:21:49,654;-73,97004129;241,9451033;215;0,1;0,395256917
1,49449E+12;253;216;132;2987;11/05/2017 08:21:49,952;11/05/2017 08:21:49,952;-73,97004129;241,9451033;216;0,1;0,33557047
1,49449E+12;253;218;92;2987;11/05/2017 08:21:50,202;11/05/2017 08:21:50,202;-73,97004129;241,9451033;218;0,2;0,8
1,49449E+12;253;219;148;2987;11/05/2017 08:21:50,454;11/05/2017 08:21:50,454;-73,97004129;241,9451033;219;0,1;0,396825397
1,49449E+12;253;220;104;2987;11/05/2017 08:21:50,705;11/05/2017 08:21:50,705;-73,97004129;241,9451033;220;0,1;0,398406375
1,49449E+12;253;221;180;2987;11/05/2017 08:21:50,955;11/05/2017 08:21:50,955;-73,97004129;241,9451033;221;0,1;0,4
1,49449E+12;268;230;224;3003;11/05/2017 08:22:10,040;11/05/2017 08:22:10,040;-145,9632614;224,7637122;230;7,456020344;0,39067437
1,49449E+12;271;230;156;3003;11/05/2017 08:22:10,291;11/05/2017 08:22:10,291;-147,5971785;227,2797239;230;0,3;1,195219124
1,49449E+12;272;230;136;3004;11/05/2017 08:22:10,589;11/05/2017 08:22:10,589;-152,1004697;225,4982197;230;0,484286994;1,625124141
1,49449E+12;272;229;116;3004;11/05/2017 08:22:10,840;11/05/2017 08:22:10,840;-152,1004697;225,4982197;229;0,1;0,398406375
1,49449E+12;272;230;188;3004;11/05/2017 08:22:11,088;11/05/2017 08:22:11,088;-152,1004697;225,4982197;230;0,1;0,403225806
1,49449E+12;272;230;148;3004;11/05/2017 08:22:11,339;11/05/2017 08:22:11,339;-152,1004697;225,4982197;230;0;0
1,49449E+12;272;230;164;3004;11/05/2017 08:22:11,590;11/05/2017 08:22:11,590;-152,1004697;225,4982197;230;0;0
1,49449E+12;272;230;172;3004;11/05/2017 08:22:11,890;11/05/2017 08:22:11,890;-152,1004697;225,4982197;230;0;0
1,49449E+12;272;230;172;3005;11/05/2017 08:22:12,140;11/05/2017 08:22:12,140;-156,0127907;222,809356;230;0,474723531;1,898894124
1,49449E+12;272;230;208;3006;11/05/2017 08:22:12,390;11/05/2017 08:22:12,390;-159,8775886;220,0526225;230;0,474723531;1,898894124
1,49449E+12;273;246;140;3012;11/05/2017 08:22:21,758;11/05/2017 08:22:21,758;-182,6726555;202,8785374;246;3,271947853;0,349268558
1,49449E+12;273;246;176;3012;11/05/2017 08:22:22,008;11/05/2017 08:22:22,008;-182,6726555;202,8785374;246;0;0
1,49449E+12;273;246;156;3012;11/05/2017 08:22:22,260;11/05/2017 08:22:22,260;-182,6726555;202,8785374;246;0;0
1,49449E+12;258;265;52;3263;11/05/2017 08:26:54,777;11/05/2017 08:26:54,777;237,4902522;100,8086312;265;43,28003406;0,158815905
1,49449E+12;258;265;0;3263;11/05/2017 08:26:55,230;11/05/2017 08:26:55,230;237,4902522;100,8086312;265;0;0
1,49449E+12;258;265;8;3263;11/05/2017 08:26:55,327;11/05/2017 08:26:55,327;237,4902522;100,8086312;265;0;0
